date,data
2009-03-29-12:45,9593.48
2009-03-29-13:00,10421.61
2009-03-29-13:15,11226.58
2009-03-29-13:30,11189.99
2009-03-29-13:45,12555.35
2009-03-29-14:00,11184.08
2009-03-29-14:15,10461.87
2009-03-29-14:30,11913.99
2009-03-29-14:45,13924.46
2009-03-29-15:00,11863.53
2009-03-29-15:15,11468.22
2009-03-29-15:30,12813.56
2009-03-29-15:45,12627.20
2009-03-29-16:00,12990.99
2009-03-29-16:15,14260.40
2009-03-29-16:30,12272.82
2009-03-29-16:45,12381.95
2009-03-29-17:00,13065.59
2009-03-29-17:15,14069.07
2009-03-29-17:30,13440.84
2009-03-29-17:45,13345.21
2009-03-29-18:00,15730.30
2009-03-29-18:15,13045.41
2009-03-29-18:30,11577.57
2009-03-29-18:45,13771.73
2009-03-29-19:00,13352.34
2009-03-29-19:15,12537.55
2009-03-29-19:30,12337.10
2009-03-29-19:45,11263.11
2009-03-29-20:00,11817.00
2009-03-29-20:15,13102.11
2009-03-29-20:30,12162.18
2009-03-29-20:45,13626.21
2009-03-29-21:00,14809.74
2009-03-29-21:15,13528.22
2009-03-29-21:30,11843.93
2009-03-29-21:45,12123.13
2009-03-29-22:00,11773.71
2009-03-29-22:15,11807.40
2009-03-29-22:30,12414.84
2009-03-29-22:45,13246.04
2009-03-29-23:00,15102.99
2009-03-29-23:15,13390.12
2009-03-29-23:30,13128.01
2009-03-29-23:45,12768.39
2009-03-30-00:00,12843.91
2009-03-30-00:15,11373.15
2009-03-30-00:30,10617.17
2009-03-30-00:45,11952.82
2009-03-30-01:00,12579.59
2009-03-30-01:15,12235.10
2009-03-30-01:30,10958.51
2009-03-30-01:45,9902.34
2009-03-30-02:00,9403.51
2009-03-30-02:15,9006.94
2009-03-30-02:30,8871.12
2009-03-30-02:45,8654.96
2009-03-30-03:00,8907.03
2009-03-30-03:15,8087.45
2009-03-30-03:30,8760.71
2009-03-30-03:45,8485.03
2009-03-30-04:00,7826.33
2009-03-30-04:15,7911.09
2009-03-30-04:30,7632.69
2009-03-30-04:45,7196.19
2009-03-30-05:00,6933.66
2009-03-30-05:15,6724.91
2009-03-30-05:30,7486.64
2009-03-30-05:45,6478.78
2009-03-30-06:00,5983.58
2009-03-30-06:15,6180.62
2009-03-30-06:30,6314.64
2009-03-30-06:45,6320.84
2009-03-30-07:00,6283.14
2009-03-30-07:15,7770.18
2009-03-30-07:30,8060.80
2009-03-30-07:45,7222.18
2009-03-30-08:00,5976.30
2009-03-30-08:15,6717.65
2009-03-30-08:30,6632.88
2009-03-30-08:45,6669.88
2009-03-30-09:00,6963.21
2009-03-30-09:15,7537.09
2009-03-30-09:30,7278.10
2009-03-30-09:45,8112.43
2009-03-30-10:00,9129.68
2009-03-30-10:15,9249.59
2009-03-30-10:30,9912.65
2009-03-30-10:45,12005.57
2009-03-30-11:00,12443.44
2009-03-30-11:15,10407.45
2009-03-30-11:30,9704.36
2009-03-30-11:45,11260.49
2009-03-30-12:00,10222.26
2009-03-30-12:15,10194.23
2009-03-30-12:30,11579.64
2009-03-30-12:45,12146.40
2009-03-30-13:00,9985.12
2009-03-30-13:15,11617.18
2009-03-30-13:30,9650.28
2009-03-30-13:45,10088.71
2009-03-30-14:00,9677.10
2009-03-30-14:15,9697.20
2009-03-30-14:30,12008.71
2009-03-30-14:45,12950.13
2009-03-30-15:00,11963.94
2009-03-30-15:15,11513.19
2009-03-30-15:30,11961.99
2009-03-30-15:45,11999.78
2009-03-30-16:00,12664.19
2009-03-30-16:15,12039.24
2009-03-30-16:30,13275.91
2009-03-30-16:45,13596.25
2009-03-30-17:00,13124.58
2009-03-30-17:15,13492.45
2009-03-30-17:30,14635.08
2009-03-30-17:45,14575.19
2009-03-30-18:00,13522.57
2009-03-30-18:15,12860.54
2009-03-30-18:30,11778.29
2009-03-30-18:45,13354.90
2009-03-30-19:00,12764.60
2009-03-30-19:15,11840.58
2009-03-30-19:30,11248.33
2009-03-30-19:45,12198.17
2009-03-30-20:00,14208.33
2009-03-30-20:15,12981.41
2009-03-30-20:30,11472.84
2009-03-30-20:45,12364.16
2009-03-30-21:00,11726.32
2009-03-30-21:15,10824.62
2009-03-30-21:30,10920.84
2009-03-30-21:45,11594.69
2009-03-30-22:00,11559.32
2009-03-30-22:15,11241.12
2009-03-30-22:30,11936.40
2009-03-30-22:45,13296.65
2009-03-30-23:00,13511.68
2009-03-30-23:15,13691.98
2009-03-30-23:30,14605.85
2009-03-30-23:45,18824.37
2009-03-31-00:00,17147.69
2009-03-31-00:15,16285.95
2009-03-31-00:30,15934.74
2009-03-31-00:45,15679.36
2009-03-31-01:00,15883.16
2009-03-31-01:15,15238.15
2009-03-31-01:30,14875.24
2009-03-31-01:45,13618.13
2009-03-31-02:00,14575.48
2009-03-31-02:15,11658.77
2009-03-31-02:30,10759.26
2009-03-31-02:45,9813.80
2009-03-31-03:00,9166.88
2009-03-31-03:15,11252.86
2009-03-31-03:30,10642.31
2009-03-31-03:45,10299.46
2009-03-31-04:00,9967.19
2009-03-31-04:15,9527.49
2009-03-31-04:30,8968.45
2009-03-31-04:45,8900.56
2009-03-31-05:00,8927.81
2009-03-31-05:15,9957.50
2009-03-31-05:30,9208.42
2009-03-31-05:45,8567.95
2009-03-31-06:00,9032.90
2009-03-31-06:15,8182.92
2009-03-31-06:30,8330.02
2009-03-31-06:45,7685.45
2009-03-31-07:00,8102.26
2009-03-31-07:15,8037.27
2009-03-31-07:30,7704.81
2009-03-31-07:45,8117.14
2009-03-31-08:00,8116.85
2009-03-31-08:15,8272.37
2009-03-31-08:30,7221.65
2009-03-31-08:45,7228.52
2009-03-31-09:00,8730.38
2009-03-31-09:15,8624.90
2009-03-31-09:30,9566.32
2009-03-31-09:45,10372.54
2009-03-31-10:00,10328.69
2009-03-31-10:15,9042.41
2009-03-31-10:30,11133.91
2009-03-31-10:45,10850.94
2009-03-31-11:00,11746.60
2009-03-31-11:15,13605.14
2009-03-31-11:30,14636.41
2009-03-31-11:45,15556.69
2009-03-31-12:00,15120.59
2009-03-31-12:15,13545.07
2009-03-31-12:30,12542.58
2009-03-31-12:45,13219.19
2009-03-31-13:00,13511.58
2009-03-31-13:15,12210.65
2009-03-31-13:30,11325.84
2009-03-31-13:45,12164.58
2009-03-31-14:00,12836.94
2009-03-31-14:15,13261.64
2009-03-31-14:30,13873.47
2009-03-31-14:45,13840.35
2009-03-31-15:00,12382.67
2009-03-31-15:15,11890.27
2009-03-31-15:30,11737.60
2009-03-31-15:45,12101.68
2009-03-31-16:00,13167.29
2009-03-31-16:15,12976.94
2009-03-31-16:30,12490.70
2009-03-31-16:45,12633.87
2009-03-31-17:00,14544.14
2009-03-31-17:15,12878.33
2009-03-31-17:30,12696.06
2009-03-31-17:45,12599.85
2009-03-31-18:00,12100.29
2009-03-31-18:15,10926.11
2009-03-31-18:30,11117.31
2009-03-31-18:45,9817.46
2009-03-31-19:00,10284.58
2009-03-31-19:15,9874.53
2009-03-31-19:30,11450.24
2009-03-31-19:45,11101.04
2009-03-31-20:00,11860.59
2009-03-31-20:15,14317.30
2009-03-31-20:30,12842.85
2009-03-31-20:45,12604.89
2009-03-31-21:00,12168.91
2009-03-31-21:15,13005.78
2009-03-31-21:30,13246.28
2009-03-31-21:45,13741.76
2009-03-31-22:00,12457.10
2009-03-31-22:15,15049.61
2009-03-31-22:30,14446.35
2009-03-31-22:45,14310.55
2009-03-31-23:00,14257.55
2009-03-31-23:15,13586.43
2009-03-31-23:30,14886.65
2009-03-31-23:45,14126.09
