date,data
2009-03-28-00:00,11682.93
2009-03-28-00:15,11697.34
2009-03-28-00:30,11709.92
2009-03-28-00:45,10388.29
2009-03-28-01:00,10445.75
2009-03-28-01:15,10540.36
2009-03-28-01:30,9940.78
2009-03-28-01:45,9919.54
2009-03-28-02:00,9848.27
2009-03-28-02:15,9808.58
2009-03-28-02:30,9664.25
2009-03-28-02:45,9517.67
2009-03-28-03:00,8820.23
2009-03-28-03:15,9487.88
2009-03-28-03:30,9241.88
2009-03-28-03:45,9195.72
2009-03-28-04:00,8610.56
2009-03-28-04:15,8165.18
2009-03-28-04:30,8703.04
2009-03-28-04:45,8608.17
2009-03-28-05:00,8368.44
2009-03-28-05:15,8567.68
2009-03-28-05:30,7948.10
2009-03-28-05:45,7735.26
2009-03-28-06:00,7708.49
2009-03-28-06:15,7741.83
2009-03-28-06:30,7650.01
2009-03-28-06:45,7818.37
2009-03-28-07:00,6844.44
2009-03-28-07:15,7528.90
2009-03-28-07:30,7012.25
2009-03-28-07:45,7472.01
2009-03-28-08:00,6353.24
2009-03-28-08:15,5932.76
2009-03-28-08:30,5946.49
2009-03-28-08:45,6284.71
2009-03-28-09:00,6978.49
2009-03-28-09:15,7967.06
2009-03-28-09:30,10696.04
2009-03-28-09:45,10260.16
2009-03-28-10:00,9379.05
2009-03-28-10:15,8623.96
2009-03-28-10:30,7757.81
2009-03-28-10:45,9470.39
2009-03-28-11:00,9883.86
2009-03-28-11:15,9313.12
2009-03-28-11:30,8210.86
2009-03-28-11:45,8672.35
2009-03-28-12:00,9286.32
2009-03-28-12:15,9709.54
2009-03-28-12:30,9559.45
2009-03-28-12:45,9410.90
2009-03-28-13:00,8573.46
2009-03-28-13:15,13411.06
2009-03-28-13:30,15035.25
2009-03-28-13:45,15256.53
2009-03-28-14:00,14486.27
2009-03-28-14:15,12503.32
2009-03-28-14:30,12294.00
2009-03-28-14:45,13273.01
2009-03-28-15:00,14450.75
2009-03-28-15:15,13952.69
2009-03-28-15:30,13684.63
2009-03-28-15:45,13857.39
2009-03-28-16:00,13189.40
2009-03-28-16:15,14085.52
2009-03-28-16:30,15564.56
2009-03-28-16:45,15014.35
2009-03-28-17:00,15977.72
2009-03-28-17:15,14765.83
2009-03-28-17:30,15076.24
2009-03-28-17:45,15503.05
2009-03-28-18:00,14222.94
2009-03-28-18:15,14753.44
2009-03-28-18:30,14936.99
2009-03-28-18:45,13952.03
2009-03-28-19:00,17086.73
2009-03-28-19:15,14469.74
2009-03-28-19:30,11760.05
2009-03-28-19:45,13122.64
2009-03-28-20:00,13019.05
2009-03-28-20:15,14022.12
2009-03-28-20:30,12777.89
2009-03-28-20:45,13390.75
2009-03-28-21:00,12643.63
2009-03-28-21:15,13013.17
2009-03-28-21:30,13126.95
2009-03-28-21:45,13749.50
2009-03-28-22:00,14087.93
2009-03-28-22:15,14856.53
2009-03-28-22:30,13815.42
2009-03-28-22:45,13476.52
2009-03-28-23:00,13765.32
2009-03-28-23:15,13665.10
2009-03-28-23:30,14224.51
2009-03-28-23:45,13311.41
2009-03-29-00:00,14152.58
2009-03-29-00:15,13664.80
2009-03-29-00:30,13709.87
2009-03-29-00:45,12341.32
2009-03-29-01:00,13426.61
2009-03-29-01:15,14280.60
2009-03-29-01:30,13725.43
2009-03-29-01:45,13061.89
2009-03-29-02:00,11991.91
2009-03-29-02:15,12059.09
2009-03-29-02:30,12265.25
2009-03-29-02:45,11552.16
2009-03-29-03:00,9980.94
2009-03-29-03:15,9715.68
2009-03-29-03:30,9834.66
2009-03-29-03:45,10417.48
2009-03-29-04:00,8999.20
2009-03-29-04:15,10508.30
2009-03-29-04:30,10280.74
2009-03-29-04:45,8831.48
2009-03-29-05:00,8737.62
2009-03-29-05:15,8290.08
2009-03-29-05:30,7986.24
2009-03-29-05:45,7379.91
2009-03-29-06:00,7407.67
2009-03-29-06:15,7697.80
2009-03-29-06:30,6354.61
2009-03-29-06:45,6846.59
2009-03-29-07:00,6072.81
2009-03-29-07:15,6504.09
2009-03-29-07:30,6869.18
2009-03-29-07:45,5962.41
2009-03-29-08:00,5941.42
2009-03-29-08:15,6818.20
2009-03-29-08:30,6548.59
2009-03-29-08:45,7403.24
2009-03-29-09:00,7084.51
2009-03-29-09:15,7664.30
2009-03-29-09:30,9057.07
2009-03-29-09:45,10258.68
2009-03-29-10:00,10770.00
2009-03-29-10:15,9600.63
2009-03-29-10:30,8933.82
2009-03-29-10:45,7680.06
2009-03-29-11:00,9250.66
2009-03-29-11:15,10309.03
2009-03-29-11:30,9286.30
2009-03-29-11:45,10208.50
2009-03-29-12:00,10525.40
2009-03-29-12:15,10707.61
2009-03-29-12:30,10416.35
